,seqNum,date,time,askPrice5,askPrice4,askPrice3,askPrice2,askPrice1,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askSize5,askSize4,askSize3,askSize2,askSize1,bidSize1,bidSize2,bidSize3,bidSize4,bidSize5,deriveFlag,deriveBuyPrice,deriveSellPrice,deriveBuyQty,deriveSellQty
109,15764,2019-04-01,84611190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,40,92,94,66,55,52,1,24650,24900,1,23
110,16013,2019-04-01,84612565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,23
111,16475,2019-04-01,84615690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,33
112,16524,2019-04-01,84615940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
113,16571,2019-04-01,84616315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
114,17115,2019-04-01,84619940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
115,17136,2019-04-01,84620065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
116,17184,2019-04-01,84620440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
117,17409,2019-04-01,84622065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,40,92,94,66,55,52,1,24650,24900,1,43
118,17556,2019-04-01,84623065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,1,43
119,17664,2019-04-01,84623690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,1,43
120,17772,2019-04-01,84624440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,2,43
121,17916,2019-04-01,84625440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,2,43
122,17950,2019-04-01,84625690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,2,43
123,18547,2019-04-01,84629940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,46,38,92,94,66,55,52,1,24650,24900,2,43
124,18693,2019-04-01,84630940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
125,18751,2019-04-01,84631315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
126,18799,2019-04-01,84631565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
127,18873,2019-04-01,84632065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
128,18935,2019-04-01,84632565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
129,19414,2019-04-01,84635440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,66,55,52,1,24650,24900,2,43
130,19940,2019-04-01,84638940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,92,94,51,55,52,1,24650,24900,2,43
131,19958,2019-04-01,84639065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
132,20123,2019-04-01,84640065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
133,20194,2019-04-01,84640440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
134,20235,2019-04-01,84640690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
135,20272,2019-04-01,84640940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
136,20326,2019-04-01,84641315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,93,94,51,55,52,1,24650,24900,2,43
137,20549,2019-04-01,84642565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24900,2,43
138,20616,2019-04-01,84643065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24900,2,43
139,20649,2019-04-01,84643190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24900,2,43
140,20786,2019-04-01,84644065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24850,2,3
141,21003,2019-04-01,84645440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24850,2,5
142,21039,2019-04-01,84645690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,78,94,51,55,52,1,24650,24850,2,7
143,21342,2019-04-01,84647815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,79,94,51,55,52,1,24650,24850,2,7
144,21581,2019-04-01,84649315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,38,79,94,51,55,52,1,24650,24850,2,7
145,22415,2019-04-01,84653815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,26,79,94,51,55,52,1,24650,24850,2,7
146,22532,2019-04-01,84654565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,26,79,94,51,55,52,1,24650,24850,2,7
147,22550,2019-04-01,84654690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,49,26,79,94,51,55,52,1,24650,24850,2,7
148,22677,2019-04-01,84655440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,50,26,79,94,51,55,52,1,24650,24850,2,7
149,23266,2019-04-01,84659315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,50,26,79,94,51,55,52,1,24650,24850,2,7
150,23317,2019-04-01,84659565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,50,26,79,94,51,55,52,1,24650,24850,2,7
151,23847,2019-04-01,84702815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,50,26,79,94,51,55,52,1,24650,24850,2,7
152,23919,2019-04-01,84703315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,51,55,52,1,24650,24850,2,7
153,24098,2019-04-01,84704315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,61,55,52,1,24650,24850,2,7
154,24123,2019-04-01,84704440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,71,55,52,1,24650,24850,2,7
155,24173,2019-04-01,84704940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,71,65,52,1,24650,24850,2,7
156,24198,2019-04-01,84705190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,71,75,52,1,24650,24850,2,7
157,24278,2019-04-01,84705815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,79,94,71,75,52,1,24650,24850,2,6
158,24318,2019-04-01,84706065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,59,94,71,75,52,1,24650,24850,2,6
159,24436,2019-04-01,84706690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
160,24490,2019-04-01,84706940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
161,24511,2019-04-01,84707065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
162,24552,2019-04-01,84707315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
163,24570,2019-04-01,84707440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
164,24607,2019-04-01,84707690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
165,24621,2019-04-01,84707815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
166,24741,2019-04-01,84708815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
167,24758,2019-04-01,84708940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,42,56,50,26,58,94,71,75,52,1,24650,24850,2,6
